date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name
20140205,MW1007-26,5,A1,Acetaminophen,0,uM,0.798176088,0.15,0.057768738,1.726,0.123,153.8615,4,0,0,NA,NA,NA,NA,NA,NA,0.000213893,1.512194668,1.555409531,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A2,Acetaminophen,0.1,uM,1.017362936,2.8275,0.092511593,19.923125,0.279625,16.383,8,4,0,NA,NA,NA,NA,NA,NA,0.003978926,0.731494565,1.425883273,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A3,Acetaminophen,0.3,uM,0.269077692,0.368571429,0.088718696,8.785285714,0.104571429,23.706,7,1,0,NA,NA,NA,NA,NA,NA,0.000833508,0.969020342,1.353146602,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A4,Acetaminophen,1,uM,1.500053946,1.671428571,0.120765993,12.62142857,0.774857143,52.1385,7,1,0,NA,NA,NA,NA,NA,NA,0.000914731,0.713168312,1.728160427,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A5,Acetaminophen,3,uM,0.755368273,0,NA,0,0,NA,3,0,0,NA,NA,NA,NA,NA,NA,0.000332541,1.177794362,1.256347053,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A6,Acetaminophen,10,uM,0.894087268,0.648,0.145777298,3.7876,0.2686,36.032,5,2,0,NA,NA,NA,NA,NA,NA,0.000355055,0.992775077,1.696633194,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A7,Acetaminophen,30,uM,0.241403562,0.075,0.0983625,7.773,0.1575,199.682,4,0,0,NA,NA,NA,NA,NA,NA,0.000347334,1.167573227,1.035008278,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,A8,Acetaminophen,0,uM,0.453004216,0,NA,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,-0.000297798,1.508088655,1.026606529,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B1,Bisindolymaleimide 1,0,uM,1.469554345,2.748,0.13053541,13.0904,0.476,50.286,5,2,0,NA,NA,NA,NA,NA,NA,-0.000372004,0.849899852,1.761001631,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B2,Bisindolymaleimide 1,0.03,uM,1.521393344,1.73,0.116076625,15.97033333,0.883333333,34.0385,6,2,0,NA,NA,NA,NA,NA,NA,-0.000118885,0.467723166,2.243467516,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B3,Bisindolymaleimide 1,0.1,uM,1.511510648,1.302857143,0.131810856,5.285,0.433,101.7855,7,2,0,NA,NA,NA,NA,NA,NA,0.000445247,0.943971614,1.860072806,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B4,Bisindolymaleimide 1,0.3,uM,1.378210365,2.014285714,0.144247309,11.87885714,0.474428571,57.02,7,2,0,NA,NA,NA,NA,NA,NA,-0.000414516,0.537150121,1.766941108,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B5,Bisindolymaleimide 1,1,uM,0.463299766,0,NA,0,0,NA,2,0,0,NA,NA,NA,NA,NA,NA,0.00121732,0.818516825,1.865678337,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,B8,Bisindolymaleimide 1,0,uM,1.984602799,2.76,0.087476547,15.571,0.60575,34.552,4,3,0,NA,NA,NA,NA,NA,NA,0.002485189,1.18330826,1.183777207,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C1,Domoic Acid,0,uM,1.983248121,3.46,0.141663,12.333,0.569666667,33.1875,3,2,0,NA,NA,NA,NA,NA,NA,-9.14E-05,1.617908295,1.562255219,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C2,Domoic Acid,3.00E-04,uM,1.097469543,2.46,0.088661217,13.38622222,0.257,44.16933333,9,3,0,NA,NA,NA,NA,NA,NA,0.00106095,0.490018789,2.29799646,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C3,Domoic Acid,0.001,uM,2.15303439,1.14,0.145709967,5.438666667,0.658333333,91.8785,3,1,0,NA,NA,NA,NA,NA,NA,0.001419829,1.331593438,2.878746923,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C4,Domoic Acid,0.003,uM,1.264881901,1.765714286,0.124378235,13.00257143,0.571142857,78.6634,7,3,0,NA,NA,NA,NA,NA,NA,0.002074018,0.440922527,0.990355343,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C5,Domoic Acid,0.01,uM,0.61215949,1.251428571,0.12943379,11.52271429,0.312857143,23.217,7,3,0,NA,NA,NA,NA,NA,NA,0.000204067,1.469470708,1.340940399,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C6,Domoic Acid,0.03,uM,1.912804882,1.44,0.103837262,20.25314286,1.743714286,19.14466667,7,3,0,NA,NA,NA,NA,NA,NA,0.000198258,0.520745365,2.057137871,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C7,Domoic Acid,0.1,uM,0.556682214,0.34,0.155411111,3.593,0.444666667,55.607,3,1,0,NA,NA,NA,NA,NA,NA,-2.07E-06,1.358131725,1.298170269,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,C8,Domoic Acid,0,uM,1.433519919,1.74,0.157972041,9.0615,0.48825,12.7855,4,2,0,NA,NA,NA,NA,NA,NA,0.000448597,1.489134926,2.41469778,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D1,Loperamide,0,uM,0.217561235,0,NA,0,0,NA,4,0,0,NA,NA,NA,NA,NA,NA,0.000100251,1.019031645,1.912973499,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D2,Loperamide,0.1,uM,2.076088698,0.94,0.0778841,22.93566667,2.5015,221.5316667,6,2,0,NA,NA,NA,NA,NA,NA,0.002789402,1.00932449,2.49020004,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D3,Loperamide,0.3,uM,0.387979687,0.06,0.08572,1.397,0.343,NA,1,0,0,NA,NA,NA,NA,NA,NA,0.002502219,1.752589015,1.859878691,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D8,Loperamide,0,uM,1.064668281,2.316,0.109979162,6.8266,0.1504,4.428,5,1,0,NA,NA,NA,NA,NA,NA,0.002684048,0.63925693,2.258948039,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E1,Mevastatin,0,uM,2.116187157,2.613333333,0.089300111,25.77555556,3.171222222,70.3236,9,3,0,NA,NA,NA,NA,NA,NA,0.000207297,0.967204502,1.923696912,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E2,Mevastatin,0.1,uM,3.438822193,1.968,0.067674668,55.6263,29.0418,44.87,10,7,13,8.923076923,0.210673077,0.476713188,74.275,0.061803887,11.69230769,0.027403642,0.585987137,1.89227162,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E3,Mevastatin,0.3,uM,0.496353901,1.44,0.079040643,14.682,0.1646,346.544,5,1,0,NA,NA,NA,NA,NA,NA,0.007999878,1.441325524,2.493230519,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E4,Mevastatin,1,uM,0.123546604,0,NA,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,0.620708204,3.037085361,2.534302098,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E5,Mevastatin,3,uM,0.206994749,0,NA,0,0,NA,2,0,0,NA,NA,NA,NA,NA,NA,0.003734828,1.276891158,1.427304385,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E8,Mevastatin,0,uM,1.261475854,1.4,0.138560088,8.438666667,0.4845,106.47675,6,2,0,NA,NA,NA,NA,NA,NA,0.003864698,0.970482365,0.951736155,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F1,Sodium Orthovanadate,0,uM,0.536885857,0.336,0.092729573,1.5212,0.0834,23.975,5,1,0,NA,NA,NA,NA,NA,NA,0.000852194,0.993402893,2.10610098,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F2,Sodium Orthovanadate,0.03,uM,0.696846198,0.308571429,0.133681644,2.020714286,0.175714286,41.819,7,1,0,NA,NA,NA,NA,NA,NA,0.000104922,1.000244717,0.998620364,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F3,Sodium Orthovanadate,0.1,uM,0.982592876,2.67,0.114833167,11.06216667,0.171333333,62.207,6,1,0,NA,NA,NA,NA,NA,NA,7.28E-05,1.027932405,1.609590874,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F4,Sodium Orthovanadate,0.3,uM,0.372400894,0.375,0.095472903,3.387125,0.064375,19.436,8,1,0,NA,NA,NA,NA,NA,NA,0.000622391,0.814840914,2.104202109,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F5,Sodium Orthovanadate,1,uM,0.692511229,0.096,0.075575172,0.5564,0.0626,120.223,5,0,0,NA,NA,NA,NA,NA,NA,0.000154865,1.008481418,0.907960425,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F6,Sodium Orthovanadate,3,uM,1.131968668,0.51,0.144039481,2.75625,0.179,27.123,4,1,0,NA,NA,NA,NA,NA,NA,-0.000536801,0.884686639,1.434843471,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F7,Sodium Orthovanadate,10,uM,0.637782251,0.02,0.08314,0.312666667,0.0555,286.559,6,0,0,NA,NA,NA,NA,NA,NA,0.000927164,0.89831831,1.005719677,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F8,Sodium Orthovanadate,0,uM,1.619977755,2.58,0.125689675,13.0252,0.653,111.624,5,2,0,NA,NA,NA,NA,NA,NA,-7.45E-05,0.721869632,1.287381842,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,7,A1,Acetaminophen,0,uM,1.310405496,2.592857143,0.067160391,44.603,0.638214286,41.49242857,14,14,33,12.60606061,0.241979016,5.126706689,31.259375,0.057670923,29.24242424,0.07504762,0.482582965,0.973480515,ON_20140205_MW1007-26_DIV07_001.h5
20140205,MW1007-26,7,A2,Acetaminophen,0.1,uM,1.461748496,1.87125,0.04611227,69.716375,1.49675,43.75625,16,16,25,14.56,0.203926729,6.584448161,39.46666667,0.090492072,63,0.173740101,0.392100914,1.582478078,ON_20140205_MW1007-26_DIV07_001.h5
20140205,MW1007-26,7,A3,Acetaminophen,0.3,uM,0.779423703,1.827692308,0.052308541,59.11269231,0.528307692,38.62130769,13,13,32,12.9375,0.196155453,11.85660884,31.58225806,0.041989037,38.65625,0.137190856,0.583780014,0.918815011,ON_20140205_MW1007-26_DIV07_001.h5
20140205,MW1007-26,7,A4,Acetaminophen,1,uM,0.742870589,1.749230769,0.046652877,66.01769231,0.610076923,33.475,13,12,31,12.83870968,0.234998429,11.78714859,32.14333333,0.082858181,37.87096774,0.14170538,0.454298303,0.87075453,ON_20140205_MW1007-26_DIV07_001.h5
20140205,MW1007-26,7,A5,Acetaminophen,3,uM,0.954487546,1.568,0.063314578,46.4154,0.7306,57.38553333,15,12,29,12.5862069,0.241834416,6.772717963,34.19821429,0.082433069,34.20689655,0.095733202,0.550191767,0.887823345,ON_20140205_MW1007-26_DIV07_001.h5
20140205,MW1007-26,7,A6,Acetaminophen,10,uM,1.781658754,2.85375,0.061436664,44.338875,0.7201875,26.96026667,16,15,29,14.93103448,0.283837917,4.685302693,33.03214286,0.0862477,47.10344828,0.100435656,0.311959887,0.772872991,ON_20140205_MW1007-26_DIV07_001.h5
